"filename", "language", "CSS", "JSON", "JavaScript", "TypeScript", "YAML", "Markdown", "HTML", "SCSS", "comment", "blank", "total"
"c:\JPEG_algorithm\src\assets\js\encoder.js", "JavaScript", 0, 0, 717, 0, 0, 0, 0, 0, 136, 133, 986
"c:\JPEG_algorithm\src\assets\js\main.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 15, 95
"c:\JPEG_algorithm\src\assets\js\png-node.js", "JavaScript", 0, 0, 313, 0, 0, 0, 0, 0, 43, 47, 403
"c:\JPEG_algorithm\src\assets\js\png.js", "JavaScript", 0, 0, 440, 0, 0, 0, 0, 0, 48, 73, 561
"c:\JPEG_algorithm\src\assets\js\zlib.js", "JavaScript", 0, 0, 383, 0, 0, 0, 0, 0, 39, 42, 464
"c:\JPEG_algorithm\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\JPEG_algorithm\src\environments\environment.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 11, 6, 23
"c:\JPEG_algorithm\src\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\JPEG_algorithm\src\main.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 6, 17
"c:\JPEG_algorithm\src\polyfills.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 57, 8, 66
"c:\JPEG_algorithm\src\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\JPEG_algorithm\src\test.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 4, 4, 26
"c:\JPEG_algorithm\tsconfig.app.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\JPEG_algorithm\tsconfig.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 1, 1, 31
"c:\JPEG_algorithm\tsconfig.spec.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 1, 1, 19
"c:\JPEG_algorithm\tslint.json", "JSON", 0, 152, 0, 0, 0, 0, 0, 0, 0, 1, 153
"Total", "-", 18483, 21157, 5760, 781, 1, 14, 828, 199, 1344, 1501, 50068
